Id,Title,Language,Year,Search Category,Display Type,Freely Available,Is Pay Per View,Subscription Tiers Permitted
65391ba9eda66c0c6d9d133c,Dil - Do - Telugu,Telugu,2022,movie,MEDIA,False,False,"['gold', 'silver']"
6502e8008cecfa0bd8ac887c,Siskiyaan - Season 3,Hindi,2022,series,MEDIA,False,False,"['gold', 'silver']"
652176e0dd7bf20c8b0473c1,Siskiyaan - Season 3 - Tamil,Tamil,2022,series,MEDIA,False,False,"['gold', 'silver']"
652176ee1f366a0c76bd1788,Siskiyaan - Season 3 - Telugu,Telugu,2022,series,MEDIA,False,False,"['gold', 'silver']"
653fb46e35aa8a0c6957575d,Jabran,Hindi,2022,movie,MEDIA,False,False,"['gold', 'silver']"
60914e541db10a0c6dfa442a,Mallika,Hindi,2019,series,MEDIA,True,False,"['gold', 'silver']"
6540ed120818de0c6d4a603b,Ishqiyapa,Hindi,2022,movie,MEDIA,False,False,"['gold', 'silver']"
653fa6f84256040c6bc158a9,Honey Trap,Hindi,2022,movie,MEDIA,False,False,"['gold', 'silver']"
653faa2c4256040c6bc167f1,Honey Trap - Tamil,Tamil,2022,movie,MEDIA,False,False,"['gold', 'silver']"
653faa3535aa8a0c69572554,Honey Trap - Telugu,Telugu,2022,movie,MEDIA,False,False,"['gold', 'silver']"
6548aeb8995b4e0c61efaff6,Takk,Hindi,2022,movie,MEDIA,False,False,"['gold', 'silver']"
6548b15b9034c10c88533acf,Takk - Tamil,Tamil,2022,movie,MEDIA,False,False,"['gold', 'silver']"
6548b1846953900c75e09f9d,Takk - Telugu,Telugu,2022,movie,MEDIA,False,False,"['gold', 'silver']"
6548b49e995b4e0c61efe3e7,Teekhi Chutney,Hindi,2022,movie,MEDIA,False,False,"['gold', 'silver']"
6548c39f9034c10c8853de17,Teekhi Chutney - Tamil,Tamil,2022,movie,MEDIA,False,False,"['gold', 'silver']"
6548c3b59034c10c8853deb9,Teekhi Chutney - Telugu,Telugu,2022,movie,MEDIA,False,False,"['gold', 'silver']"
64f59de4a273710bb4065f1b,Bidaai - Season 1,Hindi,2022,series,MEDIA,False,False,"['gold', 'silver']"
64fedad9bfc9bd0be683d2aa,Bidaai - Season 1 - Tamil,Tamil,2022,series,MEDIA,False,False,"['gold', 'silver']"
64fee0f966b3030bed1a1407,Bidaai - Season 1 - Telugu,Telugu,2022,series,MEDIA,False,False,"['gold', 'silver']"
65464c96d3a31e0c6afabd98,Sultan,Hindi,2022,movie,MEDIA,False,False,"['gold', 'silver']"
65464f20a5682a0c6d9a671d,Sultan - Tamil,Tamil,2022,movie,MEDIA,False,False,"['gold', 'silver']"
65464f28d3a31e0c6afad108,Sultan - Telugu,Telugu,2022,movie,MEDIA,False,False,"['gold', 'silver']"
6540dcc3e6f63a0c7c578697,Lady Finger,Hindi,2022,movie,MEDIA,False,False,"['gold', 'silver']"
6540de2ee6f63a0c7c579012,Lady Finger - Tamil,Tamil,2022,movie,MEDIA,False,False,"['gold', 'silver']"
6540de3a0818de0c6d4a016b,Lady Finger - Telugu,Telugu,2022,movie,MEDIA,False,False,"['gold', 'silver']"
6548de6c995b4e0c61f14b57,Walkman,Hindi,2022,movie,MEDIA,False,False,"['gold', 'silver']"
6548e1836953900c75e23328,Walkman - Tamil,Tamil,2022,movie,MEDIA,False,False,"['gold', 'silver']"
6548e19d6953900c75e233eb,Walkman - Telugu,Telugu,2022,movie,MEDIA,False,False,"['gold', 'silver']"
64f06c1a9fcd370be3467791,Tapan,Hindi,2022,movie,MEDIA,False,False,"['gold', 'silver']"
64f087a7898c4b0bd8b5013d,Tapan - Tamil,Tamil,2022,movie,MEDIA,False,False,"['gold', 'silver']"
64f087c3ba59f40bef8b8b39,Tapan - Telugu,Telugu,2022,movie,MEDIA,False,False,"['gold', 'silver']"
654634e7dc92290c6d9325fc,Shahad,Hindi,2022,movie,MEDIA,False,False,"['gold', 'silver']"
65463674dc92290c6d933261,Shahad - Tamil,Tamil,2022,movie,MEDIA,False,False,"['gold', 'silver']"
65463680dc92290c6d9332c3,Shahad - Telugu,Telugu,2022,movie,MEDIA,False,False,"['gold', 'silver']"
6540dac835aa8a0c695fef24,Samne Wali Khidki,Hindi,2022,movie,MEDIA,False,False,"['gold', 'silver']"
6502b63295ad1c0bf8d436bb,Siskiyaan - Season 2,Hindi,2022,series,MEDIA,False,False,"['gold', 'silver']"
